39,Jordan,France,AMM,CDG,2026-12-08,260,420,650
40,Palestine,Spain,TLV,MAD,2026-12-10,210,360,540
41,Egypt,Italy,CAI,FCO,2026-12-12,190,330,500
42,Saudi Arabia,Germany,RUH,FRA,2026-12-15,310,540,820
43,United Arab Emirates,United Kingdom,DXB,LHR,2026-12-18,350,600,900
44,Lebanon,United States,BEY,JFK,2026-12-20,420,720,1100
45,Qatar,Canada,DOH,YYZ,2026-12-22,330,580,880
46,Turkey,Japan,IST,NRT,2026-12-25,370,650,980
47,Jordan,Spain,AMM,MAD,2026-12-28,240,410,620
48,Egypt,Greece,CAI,ATH,2026-12-30,160,280,420
