1,Palestine,Turkey,TLV,IST,2026-07-10,100,200,300
2,Jordan,Germany,AMM,FRA,2026-07-15,150,250,400
3,Egypt,France,CAI,CDG,2026-08-01,180,320,500
4,Saudi Arabia,United Kingdom,RUH,LHR,2026-08-05,220,350,550
5,UAE,Italy,DXB,FCO,2026-08-10,250,400,600
6,Lebanon,Spain,BEY,MAD,2026-08-15,170,300,480
7,Qatar,Canada,DOH,YYZ,2026-08-20,300,500,750
8,Jordan,Turkey,AMM,IST,2026-08-22,120,220,350
9,Egypt,Germany,CAI,FRA,2026-08-25,200,340,520
10,Palestine,France,TLV,CDG,2026-08-28,230,380,580
11,Saudi Arabia,Japan,JED,NRT,2026-09-02,350,550,800
12,Qatar,Australia,DOH,SYD,2026-09-05,400,650,950
13,UAE,Singapore,DXB,SIN,2026-09-08,280,450,700
14,Lebanon,Greece,BEY,ATH,2026-09-12,130,230,360
15,Jordan,Netherlands,AMM,AMS,2026-09-15,260,420,620
16,Egypt,Sweden,CAI,ARN,2026-09-18,240,390,590
17,Palestine,Malaysia,TLV,KUL,2026-09-20,420,700,1000
18,Turkey,Germany,IST,FRA,2026-09-25,140,260,390
19,France,Italy,CDG,FCO,2026-09-28,110,210,320
20,Canada,United States,YYZ,JFK,2026-10-01,90,180,280
21,Australia,Japan,SYD,NRT,2026-10-05,310,500,760
22,Spain,Portugal,MAD,LIS,2026-10-08,95,190,290
23,Germany,Switzerland,FRA,ZRH,2026-10-10,100,210,330
24,United Kingdom,Canada,LHR,YYZ,2026-10-15,270,450,680
25,Italy,Greece,FCO,ATH,2026-10-20,85,170,260
26,Turkey,Egypt,IST,CAI,2026-10-25,160,280,430
27,Jordan,Saudi Arabia,AMM,RUH,2026-10-28,110,210,320
28,Qatar,UAE,DOH,DXB,2026-11-01,90,180,270
29,France,Japan,CDG,NRT,2026-11-05,380,620,900
30,Germany,Australia,FRA,SYD,2026-11-10,450,750,1100
31,Jordan,Italy,AMM,FCO,2026-11-15,180,320,500
32,Palestine,United Kingdom,TLV,LHR,2026-11-18,240,400,650
33,Egypt,Spain,CAI,MAD,2026-11-20,160,280,450
34,Saudi Arabia,France,RUH,CDG,2026-11-22,300,520,800
35,UAE,Germany,DXB,FRA,2026-11-25,220,380,600
36,Lebanon,Canada,BEY,YYZ,2026-11-28,280,450,700
37,Qatar,Japan,DOH,NRT,2026-12-01,350,600,900
38,Turkey,United States,IST,JFK,2026-12-05,400,700,1000
